Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,35,88.7,9353,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),36,88,4192,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,WD80EFAX,WD,Red 8TB (2017),37,88,2951,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,ST3000NC002,Seagate,Constellation CS 3TB,38,88,521,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,WD1005FBYZ,WD,Gold 1TB (2016),39,87.8,1978,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,40,87.8,1772,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,WD2003FZEX,WD,Black 2TB (2013),41,87.6,94859,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,42,86.7,11965,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,HDWE160XZSTA,Toshiba,X300 6TB,43,86.5,4317,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,43,86.5,4317,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,44,86.4,441,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),45,86.2,419,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,HDWD110XZSTA,Toshiba,P300 1TB,46,86.2,193270,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,46,86.2,193270,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,46,86.2,193270,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,,Toshiba,DT01ACA200 2TB,47,86.2,240624,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,ST2000NC001,Seagate,Constellation CS 2TB,48,85.8,465,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,0S03835,HGST,Deskstar NAS 5TB,49,85.7,512,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,HDWE140XZSTA,Toshiba,X300 4TB,50,85.5,15952,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,50,85.5,15952,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,51,84.9,2187,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,52,84.6,3139,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,ST3000VN007,Seagate,IronWolf 3TB (2016),53,84.4,2379,https://hdd.userbenchmark.com/Seagate-IronWolf-3TB-2016/Rating/3905
HDD,ST3000VX010,Seagate,SkyHawk 3TB (2016),54,84.4,1165,https://hdd.userbenchmark.com/SpeedTest/237204/ST3000VX010-2E3166
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,55,84.3,839,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),56,84.3,87936,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),57,84.1,463,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,,Toshiba,DT01ACA300 3TB,58,84,69148,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,ST2000DX001,Seagate,Desktop SSHD 2TB,59,83.8,68236,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
HDD,STCL2000400,Seagate,Desktop SSHD 2TB,59,83.8,68236,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783
