Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Core i7 940,367,66.2,1992,https://cpu.userbenchmark.com/SpeedTest/606/IntelR-CoreTM-i7-CPU---------940----293GHz
CPU,,Intel,Core i5-2500S,368,66.2,2221,https://cpu.userbenchmark.com/SpeedTest/1699/IntelR-CoreTM-i5-2500S-CPU---270GHz
CPU,BX80646I34350,Intel,Core i3-4350,369,66.1,397,https://cpu.userbenchmark.com/Intel-Core-i3-4350/Rating/2433
CPU,,Intel,Core i7-3740QM,370,66,10922,https://cpu.userbenchmark.com/SpeedTest/2919/IntelR-CoreTM-i7-3740QM-CPU---270GHz
CPU,,Intel,Core i7-4800MQ,371,66,16455,https://cpu.userbenchmark.com/SpeedTest/3437/IntelR-CoreTM-i7-4800MQ-CPU---270GHz
CPU,BX80646I34360,Intel,Core i3-4360,372,66,1437,https://cpu.userbenchmark.com/Intel-Core-i3-4360/Rating/2819
CPU,FD8370FRHKBOX,AMD,FX-8370,373,66,23961,https://cpu.userbenchmark.com/AMD-FX-8370/Rating/2983
CPU,FH8068403419422,Intel,Core i3-8109U,374,65.9,1183,https://cpu.userbenchmark.com/SpeedTest/609620/IntelR-CoreTM-i3-8109U-CPU---300GHz
CPU,AW8063801106200,Intel,Core i7-3630QM,375,65.8,55132,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626
CPU,,Intel,Core i5 760,376,65.6,23971,https://cpu.userbenchmark.com/SpeedTest/717/IntelR-CoreTM-i5-CPU---------760----280GHz
CPU,,Intel,Core i7-4710MQ,377,65.6,16589,https://cpu.userbenchmark.com/SpeedTest/9397/IntelR-CoreTM-i7-4710MQ-CPU---250GHz
CPU,,Intel,Core i7-4710HQ,378,65.6,60852,https://cpu.userbenchmark.com/SpeedTest/11499/IntelR-CoreTM-i7-4710HQ-CPU---250GHz
