Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,SSDPEKNW512G8X1,Intel,660p NVMe PCIe M.2 512GB,123,158,101935,https://ssd.userbenchmark.com/SpeedTest/557263/INTEL-SSDPEKNW512G8
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB 1TB,124,157,2009,https://ssd.userbenchmark.com/SpeedTest/39907/NVMe-PM951-NVMe-SAMSU
SSD,PH480GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 480GB,125,156,727,https://ssd.userbenchmark.com/SpeedTest/184918/Patriot-Hellfire-M2
SSD,SB-ROCKET-256,Sabrent,Rocket NVMe PCIe M.2 256GB,126,155,7054,https://ssd.userbenchmark.com/SpeedTest/759740/NVMe-Sabrent
SSD,MZHPV128HDGM-00000,Samsung,SM951 AHCI PCIe M.2 128GB,127,155,1858,https://ssd.userbenchmark.com/SpeedTest/26719/SAMSUNG-MZHPV128HDGM-00000
SSD,,Toshiba,THNSN5128GPU7 NVMe PCIe M.2 128GB,128,153,1949,https://ssd.userbenchmark.com/SpeedTest/38688/NVMe-THNSN5128GPU7-TO
SSD,MKNSSDPL120GB-D8,Mushkin,Pilot NVMe PCIe M.2 120GB,129,152,130,https://ssd.userbenchmark.com/SpeedTest/533910/MKNSSDPL120GB-D8
SSD,CSSD-F240GBMP500,Corsair,Force MP500 NVMe PCIe M.2 240GB,130,151,10335,https://ssd.userbenchmark.com/SpeedTest/213562/Force-MP500
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,131,151,12862,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,ASX8000NP-512GM-C,Adata,XPG SX8000 NVMe PCIe M.2 512GB,132,151,1318,https://ssd.userbenchmark.com/SpeedTest/218488/NVMe-ADATA-SX8000NP
SSD,MDNVME80-BPX-0256,MyDigitalSSD,BPX NVMe PCIe M.2 240GB,133,150,1079,https://ssd.userbenchmark.com/SpeedTest/211350/BPX
SSD,,Apple,SM0256G PCIe 251GB,134,147,687,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,135,146,163,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,135,146,163,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,135,146,163,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
